project_code,vendor_code,discipline,item_code,description,uom,qty,unit_price,currency
WH-2024-001,VENDOR-A,ELEC,E-001,Main Distribution Board 3P 630A,式,1,185000,TWD
WH-2024-001,VENDOR-A,ELEC,E-002,Sub Distribution Board 3P 100A,台,8,32000,TWD
WH-2024-001,VENDOR-A,ELEC,E-003,PVC Conduit 25mm dia,m,2400,85,TWD
WH-2024-001,VENDOR-A,ELEC,E-004,Cable Tray 300mm W,m,850,420,TWD
WH-2024-001,VENDOR-A,ELEC,E-005,Power Cable 4C 16mm2 XLPE,m,1200,310,TWD
WH-2024-001,VENDOR-A,ELEC,E-006,LED Highbay 150W,台,120,4800,TWD
WH-2024-001,VENDOR-A,ELEC,E-007,Emergency Exit Light 2W,台,32,1850,TWD
WH-2024-001,VENDOR-B,HVAC,H-001,Rooftop Package Unit 20RT,台,6,285000,TWD
WH-2024-001,VENDOR-B,HVAC,H-002,Split Type AC 3HP,台,18,42000,TWD
WH-2024-001,VENDOR-B,HVAC,H-003,Ventilation Fan 2000CMH,台,12,12500,TWD
WH-2024-001,VENDOR-B,HVAC,H-004,GI Duct 400x300mm,m,620,850,TWD
WH-2024-001,VENDOR-B,HVAC,H-005,Flexible Duct 250mm dia,m,180,320,TWD
WH-2024-001,VENDOR-C,PLUMB,P-001,Water Supply Piping PPR PN20 25mm,m,380,145,TWD
WH-2024-001,VENDOR-C,PLUMB,P-002,Drain Piping PVC 100mm dia,m,420,195,TWD
WH-2024-001,VENDOR-C,PLUMB,P-003,Water Tank 5T FRP,台,2,68000,TWD
WH-2024-001,VENDOR-C,PLUMB,P-004,Booster Pump Set 2HP,組,1,55000,TWD
WH-2024-001,VENDOR-C,PLUMB,P-005,Floor Drain 150x150mm,個,48,850,TWD
WH-2024-001,VENDOR-D,FIRE,F-001,Sprinkler Head Pendant 68°C,個,320,380,TWD
WH-2024-001,VENDOR-D,FIRE,F-002,Fire Sprinkler Pipe SCH40 50mm,m,580,480,TWD
WH-2024-001,VENDOR-D,FIRE,F-003,Fire Hose Cabinet 25mm,組,12,8500,TWD
WH-2024-001,VENDOR-D,FIRE,F-004,Smoke Detector,個,85,1200,TWD
WH-2024-001,VENDOR-D,FIRE,F-005,Fire Alarm Control Panel 20 Zone,式,1,65000,TWD
WH-2024-001,VENDOR-E,WEAK,W-001,IP CCTV Camera 2MP Dome,台,24,3800,TWD
WH-2024-001,VENDOR-E,WEAK,W-002,NVR 16CH 4K,台,2,28000,TWD
WH-2024-001,VENDOR-E,WEAK,W-003,Access Control Card Reader,式,6,9500,TWD
WH-2024-001,VENDOR-E,WEAK,W-004,CAT6 UTP Cable,m,1500,38,TWD
