專案代碼,廠商代碼,類別,料號,品名規格,單位,數量,單價,幣別
OF-2024-002,廠商甲,ELEC,E-001,主配電盤 3P 400A,式,1,145000,TWD
OF-2024-002,廠商甲,ELEC,E-002,分配電盤 3P 60A,台,12,22000,TWD
OF-2024-002,廠商甲,ELEC,E-003,PVC 電線管 20mm,m,1800,65,TWD
OF-2024-002,廠商甲,ELEC,E-004,電纜橋架 200mm W,m,600,380,TWD
OF-2024-002,廠商甲,ELEC,E-005,電力電纜 3C 6mm2,m,900,185,TWD
OF-2024-002,廠商甲,ELEC,E-006,LED 崁燈 18W,台,280,1200,TWD
OF-2024-002,廠商乙,HVAC,H-001,箱型冷氣機 5HP,台,24,58000,TWD
OF-2024-002,廠商乙,HVAC,H-002,全熱交換器 1000CMH,台,8,45000,TWD
OF-2024-002,廠商乙,HVAC,H-003,風管 300x200mm 鍍鋅板,m,480,720,TWD
OF-2024-002,廠商乙,HVAC,H-004,出風口 600x300mm,個,96,1800,TWD
OF-2024-002,廠商丙,PLUMB,P-001,給水管 PPR 20mm,m,320,120,TWD
OF-2024-002,廠商丙,PLUMB,P-002,排水管 PVC 75mm,m,280,165,TWD
OF-2024-002,廠商丙,PLUMB,P-003,衛生設備 (馬桶+洗手台),套,24,18500,TWD
OF-2024-002,廠商丙,PLUMB,P-004,熱水爐 30L,台,4,12000,TWD
OF-2024-002,廠商丁,FIRE,F-001,撒水頭 直立型 72°C,個,180,420,TWD
OF-2024-002,廠商丁,FIRE,F-002,消防配管 SCH40 40mm,m,420,410,TWD
OF-2024-002,廠商丁,FIRE,F-003,滅火器 10P 乾粉,個,32,1500,TWD
OF-2024-002,廠商丁,FIRE,F-004,偵煙探測器,個,120,1100,TWD
OF-2024-002,廠商戊,WEAK,W-001,IP 攝影機 4MP,台,32,4200,TWD
OF-2024-002,廠商戊,WEAK,W-002,門禁系統 感應卡,式,8,8800,TWD
OF-2024-002,廠商戊,WEAK,W-003,網路交換器 24port,台,4,15000,TWD
OF-2024-002,廠商戊,WEAK,W-004,CAT6 網路線,m,2200,35,TWD
